link,Český video titulek,video na titulní stránce?,English Video Title ,popisek k videu,english video description,SLUG cesky,SLUG english,ROK,kategorie1,kategorie2,priorita kategorie 2  (1 - TOP Priority),,země natáčení,České Štítky (CZ verze),English Tags (EN version)
https://youtu.be/kuGvQ1R1iMQ,Playboy X Playmate Denisa Gudelj,,Playboy X Playmate Denisa Gudelj,"Natáčení s Denisou Gudelj na jachtě v Praze byla jízda. Využil jsem krásné kulisy Vltavy a Karlova mostu, abych vytvořil video plné elegance a letní pohody. Jako kameraman jsem si vyhrál s plynulými, zpomalenými záběry, které podtrhují glamour atmosféru a prémiové prostředí. Je to přesně ten styl vizuálu, který vaše lifestylová značka nebo magazín potřebuje, aby diváka okamžitě okouzlil.","Filming with Denisa Gudelj on a yacht in Prague was a blast. I used the backdrop of the Vltava river and Charles Bridge to create a video full of elegance and summer vibes. My focus was on smooth, slow-motion shots that highlight the glamour of the setting. It’s exactly the kind of visual style a lifestyle brand needs to instantly captivate its audience.",playboy-denisa-gudelj,playboy-denisa-gudelj,2022,Drone Cinematography,Commercial & Promo,13,PLAYBOY CZECH,Česká republika,"Glamour, Móda, Lifestyle, Luxus","Glamour, Fashion, Lifestyle, Luxury"
https://youtu.be/LP90S5SRDlE,Playboy X Mirka Pikolová,,Playboy X Mirka Pikolová,"Tohle focení s Mirkou Pikolovou při západu slunce nad Prahou mělo neuvěřitelnou energii. Čekali jsme na tu správnou „zlatou hodinku“, abychom dostali do záběrů to měkké, hřejivé světlo. Siluety Národního muzea a pražských věží dodávají videu ten správný filmový nádech. Pokud hledáte někoho, kdo umí pro vaši značku nebo profil vykouzlit esteticky špičkový obsah s citem pro přirozené světlo, tady to vidíte v praxi.","Working with Mirka Pikolová at sunset brought incredible energy to the set. We waited for the ""golden hour"" to capture that soft, warm light against the silhouettes of Prague’s historic towers. If you’re looking for someone who can create aesthetically stunning content for your brand with an eye for natural light, this project is a perfect example.",playboy-mirka-pikolova,playboy-mirka-pikolova,2022,Drone Cinematography,Commercial & Promo,14,PLAYBOY CZECH,Česká republika,"Glamour, Portrét, Móda, Lifestyle","Glamour, Portrait, Fashion, Lifestyle"
https://youtu.be/-SGTNKdQsFI,Playboy X Karolína Holcová & Oliver König,,Playboy X Karolína Holcová & Oliver König,"Spojení energie motorsportu a světa high-fashion na jedné z pražských střech. S Karolínou Holcovou a závodníkem Oliverem Königem jsme vytvořili odvážné, moderní video plné dynamiky. Jako kameraman jsem se snažil zachytit chemii mezi nimi i syrovou sílu závodního stroje. Díky dravému střihu a záběrům z dronu má výsledek ten správný městský drajv, který vaše automotive značka nebo módní label potřebuje.","Merging motorsport energy with high fashion on a Prague rooftop was a thrill. Together with Karolína Holcová and Oliver König, we created a modern, high-octane video. I aimed to capture the chemistry between them and the raw power of the racing machine. With fast-paced editing and drone shots, the result has that perfect urban drive.",playboy-karolina-holcova-oliver-konig,playboy-karolina-holcova-oliver-konig,2023,Drone Cinematography,Commercial & Promo,15,PLAYBOY CZECH,Česká republika,"Automotive, High Fashion, Sport, Motorsport","Automotive, High Fashion, Sport, Motorsport"
https://youtu.be/KozV81elwq4,Playboyy Catwoman - reportáž,,Playboy Catwoman - Behind the Scenes,"Industriální sklad v Praze, neony a kouř – tohle koncepční natáčení s modelkou Caroline v duchu „Catwoman“ mělo skvělou temnou atmosféru. Jako kameraman jsem si užil hru s kontrastem a texturami v syrovém prostředí. Výsledkem je kinematografické video, které vyčnívá z řady. Rád pomůžu kreativním agenturám nebo návrhářům vtisknout jejich vizím podobně unikátní a odvážnou tvář.","Industrial warehouses, neon lights, and smoke—this concept shoot with Caroline as ""Catwoman"" had a fantastic dark vibe. As a cinematographer, I enjoyed playing with contrast and textures in such a raw environment. I love helping creative agencies bring a unique and bold face to their specific visions.",playboy-catwoman-reportaz,playboy-catwoman-report,2025,Drone Cinematography,Commercial & Promo,16,PLAYBOY CZECH,Česká republika,"Móda, Kreativní marketing, Koncept, Studio","Fashion, Creative Marketing, Conceptual, Studio"
https://youtu.be/Iojag7ctc2I,"Joyseat: No pressure, just joy!",ano,"Joyseat: No pressure, just joy!","Tohle byla výzva v náročném terénu Alp. Sledovat horské cyklisty na zasněžených hřebenech a lesních stezkách vyžadovalo maximální soustředění a rychlost. S dronem jsem se snažil zachytit tu neskutečnou svobodu a majestátnost hor. Pro outdoorové značky a prodejce sportovního vybavení je to ideální způsob, jak ukázat produkt v těch nejextrémnějších podmínkách a vyprávět příběh o vytrvalosti, který vaše zákazníky strhne.","Tracking mountain bikers on snowy Alpine ridges required total focus and speed. Using a drone, I captured the incredible freedom and majesty of the mountains. For outdoor brands, this is the perfect way to showcase products in extreme conditions while telling a gripping story of endurance.",joyseat-no-pressure-just-joy,joyseat-no-pressure-just-joy,2023,Drone Cinematography,Commercial & Promo,3,Boogie Films,Česká republika,"Akční sport, Outdoor, Cyklistika, Dobrodružství","Action Sport, Outdoor, Cycling, Adventure"
https://youtu.be/fByN3d7-TF0,MACHR - Stories : Síla páry,,MACHR Stories: The Power of Steam,"Příběh o špíně, horku a neuvěřitelné řemeslné zručnosti. Dokumentoval jsem Jiřího Cikána a jeho tým při restaurování historické parní lokomotivy. Chtěl jsem, aby z videa byla cítit ta lidská dřina, proto jsem vsadil na makro záběry svařování a detaily těžké techniky. Pomáhám strojírenským firmám a spolkům vyprávět jejich příběhy tak, aby i složité technické procesy vypadaly na plátně lidsky a poutavě.","A story of grit, heat, and craftsmanship during the restoration of a historic steam locomotive. I wanted the audience to feel the human labor involved, so I focused on macro shots of welding and heavy machinery details. I help engineering firms tell their stories by making technical processes feel human and engaging.",machr-stories-sila-pary,machr-stories-steam-power,2024,Drone Cinematography,Documentary,17,ČESKÁ PRODUKČNÍ,Česká republika,"Řemeslo, Restaurování, Strojírenství, Historie","Craftsmanship, Restoration, Engineering, History"
https://youtu.be/XO0PDefAcvc,SUBTERRA – Metrostav handy cyklo maraton,,SUBTERRA – Metrostav Handy Cycling Marathon,"Metrostav Handy Cyklo Maraton je pro mě srdcovka. Sledovat týmy zdravých i hendikepovaných cyklistů na trase 2 222 km bylo plné emocí. Jako kameraman jsem zachytil energii startů, ale i tichou vytrvalost během nočních etap. Moje dronové a pozemní záběry vyprávějí o odhodlání a týmovém duchu. Pokud vaše firma řeší projekty společenské odpovědnosti (CSR), rád vám pomůžu vytvořit video, které skutečně zarezonuje s lidmi.","The Metrostav Handy Cyklo Marathon is a project close to my heart. Following teams of able-bodied and disabled cyclists over 2,222 km was deeply emotional. I captured the energy of the starts and the quiet endurance of the night stages. I help companies create CSR videos that truly resonate with their audience.",subterra-handy-cyklo-maraton,subterra-handy-cycle-marathon,2025,Drone Cinematography,Documentary,10,SUBTERRA,Česká republika,"CSR, Charita, Sport, Komunita","CSR, Charity, Sport, Community"
https://youtu.be/92gYKbhiLbA,Jak se staví metro D – sestřih pro DOD,,Building Metro D - Open Day Edit,"Měl jsem možnost dokumentovat stavbu nové linky metra D přímo v hlubinách stanice Pankrác. Pomocí časosběru a dronu jsem zachytil to obrovské měřítko výkopů a konstrukčních prací. Jako kameraman jsem se zaměřil na to, jak složité a fascinující je podzemní inženýrství. Stavebním firmám a urbanistům pomáhám ukázat technickou preciznost jejich práce způsobem, který je srozumitelný a vizuálně působivý i pro laiky.","Documenting the construction of the new Metro D line deep within the Pankrác station was a unique opportunity. Using time-lapse and drones, I captured the massive scale of the excavation. I help construction firms and urban planners showcase technical precision in a way that is visually stunning for everyone.",stavba-metra-d-sestrih,metro-d-construction-edit,2025,Drone Cinematography,Corporate video,10,SUBTERRA,Česká republika,"Infrastruktura, Stavebnictví, Inženýrství, Veřejné stavby","Infrastructure, Construction, Engineering, Public Works"
https://youtu.be/Dbvd5rqE2L4,SUBTERRA - Pluh pro úpravu štěrkového lože,,SUBTERRA - Ballast Regulator Plasser & Theurer,"Těžká technika v pohybu má svou vlastní krásu. Dokumentoval jsem stabilizaci tratí se strojem „Plasser & Theurer“. Kombinoval jsem akční záběry od kolejí s pohledy z dronu, abych ukázal tu souhru a rychlost, s jakou se na železnici pracuje. Pomáhám dodavatelům infrastruktury vizuálně komunikovat jejich spolehlivost a moderní vybavení, které je v B2B světě jejich nejlepší vizitkou.","Heavy machinery in motion has its own unique beauty. I documented track stabilization with the ""Plasser & Theurer"" machine, blending track-side action with drone perspectives. I help infrastructure providers communicate their reliability and modern equipment—their strongest professional calling card.",subterra-plasser-theurer-usp,subterra-plasser-theurer-usp,2024,Drone Cinematography,Corporate video,7,SUBTERRA,Česká republika,"Železnice, Těžká technika, B2B, Údržba","Railway Industry, Heavy Machinery, B2B, Maintenance"
https://youtu.be/jDFFCCuyDgM,SUBTERRA - Technologie pro polyfunkční objekt Masaryčka,,SUBTERRA - Technology for Masaryčka Complex,"Masaryčka je symbolem moderní Prahy a pro mě jako kameramana byla čest dokumentovat technologie v jejím srdci. S dronem i kamerou jsem se zaměřil na technickou preciznost polyfunkčního objektu, kde se potkává špičková architektura s inženýrským umem. Pomáhám stavebním firmám ukázat rozsah a kvalitu jejich práce skrze záběry, které dýchají profesionalitou a moderním přístupem k výstavbě.","Masaryčka is a landmark of modern Prague, and documenting the technology at its heart was a privilege. With drones and ground cameras, I focused on the technical precision of this multifunctional site. I help construction companies showcase the quality of their work through footage that breathes professionalism and innovation.",subterra-technologie-masarycka,subterra-technology-masarycka,2024,Drone Cinematography,Corporate video,8,SUBTERRA,Česká republika,"Architektura, Urbanismus, Reality, Stavebnictví","Architecture, Urban Design, Real Estate, Construction"
https://youtu.be/XCp6C0dCxg4,Průlet metrem D pro DOD,ano,Metro D FPV Drone Flight,"Podzemní prostory budoucího metra D na Pankráci byla jedna z mých technicky nejnáročnějších výzev. Jako dronista jsem musel s FPV dronem navigovat hluboko v tunelech, abych zachytil ten syrový monumentální rozsah stavby, který běžné oko neuvidí. Stavebním projektům dodávám vizuální výhodu – ukazuji jejich velikost a náročnost z úhlů, které diváka doslova vtáhnou do nitra inženýrského díla.","Navigating the deep tunnels of the future Metro D line with an FPV drone was one of my toughest technical challenges yet. My goal was to capture the raw, monumental scale of the construction that usually remains hidden. I provide construction projects with a visual edge, showcasing their magnitude from angles that draw the viewer right into the heart of the engineering.",prulet-metrem-d-dod,subterra-track-modernization-sevetin,2025,Drone Cinematography,Commercial & Promo,28,SUBTERRA,Česká republika,"FPV kinematografie, Inženýrství, Stavebnictví, Infrastruktura","FPV Cinematography, Engineering, Construction, Infrastructure"
https://youtu.be/oQpbyG3AwHg,SUBTERRA Elektrizace trati Střelice – Zastávka u Brna,,SUBTERRA Electrification of Střelice – Zastávka Line,"Modernizace železnice je fascinující proces plný dynamiky a pohybu. Při natáčení elektrizace trati u Brna jsem využil dron, abych poskytl dokonalý přehled o postupu prací a pokládce kolejnic. Jako kameraman dbám na bezpečnost v blízkosti trolejí a zároveň se snažím, aby technická dokumentace staveniště vypadala jako atraktivní filmový příběh o budování moderní infrastruktury.","Railway modernization is a fascinating process driven by movement and energy. While filming the electrification near Brno, I used drones to provide a comprehensive overview of the work progress and rail laying. As a cinematographer, I prioritize safety near high-voltage lines while turning technical site documentation into an engaging cinematic story.",subterra-elektrizace-trati-strelice,subterra-tunneling-germany,2024,Drone Cinematography,Corporate video,9,SUBTERRA,Česká republika,"Železnice, Infrastruktura, Inženýrství, Průmysl","Railway, Infrastructure, Engineering, Industry"
https://youtu.be/QRTi-uA9fqA,RailCargo Logistika a transport v pohybu,,RailCargo Logistics and Transport in Motion,"V kontejnerovém terminálu Rail Cargo Group jsem hledal rytmus a efektivitu logistiky v pohybu. Skrze objektiv dronu jsem zachytil manipulaci s nákladem tak, aby vynikla rozsáhlost a technologické vybavení celého uzlu. Pomáhám dopravním a spedičním firmám budovat důvěru u klientů tím, že jejich každodenní náročný provoz prezentuji jako čistý, rychlý a dokonale organizovaný systém.","Searching for the rhythm and efficiency of logistics in motion, I used drone cinematography to capture cargo handling at the Rail Cargo Group terminal. By highlighting the vastness of the hub, I help transport companies build client trust, presenting their daily operations as a clean, rapid, and perfectly organized system.",railcargo-logistika-transport-v-pohybu,subterra-barrandov-bridge-reconstruction,2021,Drone Cinematography,Corporate video,21,RAILCARGO,Česká republika,"Logistika, Transport, B2B, Mezinárodní obchod","Logistics, Transport, B2B, Global Trade"
https://youtu.be/F8_XdZaNVVQ,Prodesi / Domesi - Rodinné domy dle individuálních návrhů,,Prodesi / Domesi - Bespoke Timber Houses,"Dřevostavby od Prodesi/Domesi jsou o harmonii s přírodou a přesně to jsem chtěl přenést i do videa. Plynulými přelety dronem jsem propojil estetiku moderní architektury s okolní krajinou. Jako kameraman se zaměřuji na emoce a detaily materiálů, které budoucím majitelům pomáhají najít cestu k jejich vysněnému domovu. Architektům dodávám vizuální příběh, který prodává vizi moderního a ekologického bydlení.","Modern timber houses by Prodesi/Domesi are all about harmony with nature, and that's exactly what I aimed to convey. Using smooth drone flights, I bridged the gap between modern architecture and the surrounding landscape. I focus on emotions and material details, helping future owners connect with the vision of their dream home.",prodesi-domesi-rodinne-domy,subterra-tunnel-remediation-saxony,2021,Video Production,Real-estate,13,Domesi,Česká republika,"Eko architektura, Dřevostavby, Reality, Design","Eco Architecture, Timber Housing, Real Estate, Design"
https://youtu.be/PjVe6_AI5TU,DVTV NABITO - Laurin & Klement B a Škoda Felicia,ano,DVTV NABITO - Laurin & Klement B & Škoda Felicia,"Natáčení 130. výročí Škoda Auto v Mladé Boleslavi byla cesta historií českého průmyslu. Propojil jsem detaily veteránů jako Laurin & Klement s moderními halami automobilky. S dronem jsem zachytil eleganci historických vozů v pohybu i majestátnost továrního komplexu. Pomáhám značkám s bohatou tradicí vyprávět jejich příběh tak, aby propojil úctu k minulosti s vizí budoucnosti a elektromobility.","Filming the 130th anniversary of Škoda Auto was a journey through the history of Czech industry. I blended the details of vintage classics like Laurin & Klement with the brand's modern facilities. Drone shots allowed me to capture the elegance of historic cars in motion and the majesty of the factory complex, bridging heritage with the future of mobility.",dvtv-nabito-laurin-klement,subterra-d35-janov-opatovec,2025,Video Production,Interview,1,DVTV,Česká republika,"Historie automotive, Průmyslové dědictví, Dokument","Automotive History, Industrial Heritage, Documentary"
https://youtu.be/cFAdj1S-j0Q,DVTV NABITO - sraz veteránů,ano,DVTV NABITO - Vintage Car Rally,"Atmosféra na srazu veteránů na Pecce byla plná nostalgie a vášně pro staré stroje. Jako kameraman jsem se zaměřil na lesk karoserií a detaily, které dělají tyto vozy unikátními. Dronem jsem pak zdokumentoval spanilou jízdu krajinou, která celému setkání dodala filmový rozměr. Organizátorům eventů pomáhám oživit jejich komunitní akce skrze video, které diváka vtáhne do děje a probudí v něm emoce.","The atmosphere at the vintage car rally in Pecka was filled with nostalgia and passion. I focused on the gleaming chrome and the intricate details that make these cars unique, using a drone to document the scenic drive through the countryside. I help event organizers bring their community gatherings to life through video that truly immerses the viewer.",dvtv-nabito-sraz-veteranu,subterra-railway-node-pardubice,2025,Video Production,Interview,2,DVTV,Česká republika,"Automotive, Komunita, Event, Nostalgie","Automotive, Community, Event, Nostalgia"
https://youtu.be/BsV47JzbfPc,DVTV NABITO - Zdeněk Svěrák,ano,DVTV NABITO - Interview with Zdeněk Svěrák,"Provázet kamerou a dronem Zdeňka Svěráka v novém modelu Škoda Elroq byla nezapomenutelná práce. Snažil jsem se pomocí plynulých záběrů z ptačí perspektivy zasadit tento lidský příběh do kulis pražské architektury. Propojuji tváře osobností s moderním designem a technologiemi tak, aby výsledné video nepůsobilo jen jako reklama, ale jako autentický rozhovor s prémiovým vizuálním kontextem.","Accompanying Zdeněk Svěrák in the new Škoda Elroq with my camera and drone was an unforgettable experience. Using smooth aerial shots, I placed this human story within the beautiful backdrop of Prague’s architecture. I bridge famous faces with modern design, ensuring the final video feels like an authentic conversation with a premium visual context.",dvtv-nabito-zdenek-sverak,subterra-amazon-kojetin-logistics,2025,Video Production,Interview,3,DVTV,Česká republika,"Rozhovor, Osobnost, Elektromobilita, Lifestyle","Interview, Personality, E-mobility, Lifestyle"
https://youtu.be/koVy91PeFuI,DVTV Turistika beze stop - Vranov nad Dyjí,,DVTV Sustainable Tourism - Vranov nad Dyjí,"Na Vranově jsem propojil dynamiku rozhovorů s krásou jihomoravské krajiny. S dronem jsem obletěl majestátní zámek i technické dílo přehrady, abych ukázal rozmanitost tohoto regionu. Pomáhám projektům zaměřeným na turistiku a regionální marketing vyniknout díky kombinaci pozemní kamery a leteckých záběrů, které dají každému místu potřebnou hloubku a profesionální lesk.","At Vranov nad Dyjí, I combined dynamic interviews with the beauty of the South Moravian landscape. Flying my drone around the majestic castle and the dam allowed me to showcase the region's diversity. I help tourism projects stand out by merging ground-level cinematography with aerial shots that give every location depth and a professional polish.",dvtv-turistika-vranov-nad-dyji,subterra-d1-highway-prerov,2024,Video Production,Documentary,7,DVTV,Česká republika,"Cestování, Turismus, Historie, Památky","Travel, Tourism, History, Landmark"
